name;leaf1;leaf2;MCMCtree
MAMMALIA;ornithorhynchus_anatinus;homo_sapiens;'B(1.641,2.522)'
THERIA;monodelphis_domestica;homo_sapiens;'B(1.2156,1.694)'
PLACENTALIA;choloepus_hoffmanni;homo_sapiens;'B(0.6166,0.6609,0.025,1e-300)'
EUARCHONTOGLIRES;tupaia_belangeri;homo_sapiens;'B(0.6166,0.6609)'
PRIMATES;otolemur_garnettii;homo_sapiens;'B(0.56,0.6609)'
ANTHROPOIDEA;aotus_nancymaae;homo_sapiens;'B(0.339,0.6609)'
CATARRHINI;chlorocebus_sabaeus;homo_sapiens;'B(0.2444,0.339)'
HOMINIDAE;pongo_abelii;homo_sapiens;'B(0.1165,0.339)'
GORILLA-HUMAN;gorilla_gorilla;homo_sapiens;'B(0.0533,0.339)'
HOMININI;pan_troglodytes;homo_sapiens;'B(0.065,0.1)'
CERCOPITHECINAE;chlorocebus_sabaeus;macaca_nemestrina;'B(0.0533,0.339)'
PAPIONINI;papio_anubis;macaca_nemestrina;'B(0.0533,0.339)'
STREPSIRHINI;otolemur_garnettii;microcebus_murinus;'B(0.339,0.6609)'
GLIRES;oryctolagus_cuniculus;mus_musculus;'B(0.56,0.6609)'
RODENTIA;ictidomys_tridecemlineatus;mus_musculus;'B(0.56,0.6609)'
ROD-NOSQUIRREL;fukomys_damarensis;mus_musculus;'B(0.4807,0.5924)'
DIPOD-RATT;jaculus_jaculus;mus_musculus;'B(0.4103,0.5924)'
MURIDAE;mus_musculus;rattus_norvegicus;'B(0.0725,0.1599)'
LAGOMORPHA;oryctolagus_cuniculus;ochotona_princeps;'B(0.4807,0.6609)'
EUUNGULATA;equus_caballus;capra_hircus;'B(0.507,0.6609)'
ARTIODACTYLA;vicugna_pacos;capra_hircus;'B(0.507,0.6609)'
WHIP-RUM;tursiops_truncatus;capra_hircus;'B(0.507,0.6609)'
BOV-ANTIL;bos_taurus;capra_hircus;'B(0.1599,0.2729)'
CARNIVORA;felis_catus;ailuropoda_melanoleuca;'B(0.3771,0.6609)'
CANIFORMIA;canis_familiaris;ailuropoda_melanoleuca;'B(0.3771,0.6609)'
CHIROPTERA;pteropus_vampyrus;myotis_lucifugus;'B(0.4807,0.6609)'
LIPOTYPHLA;sorex_araneus;erinaceus_europaeus;'B(0.6166,0.6609)'
AFROTHERIA;echinops_telfairi;loxodonta_africana;'B(0.56,0.6609)'
PAENUNGULATA;procavia_capensis;loxodonta_africana;'B(0.56,0.6609)'
XENARTHRA;choloepus_hoffmanni;dasypus_novemcinctus;'B(0.4807,0.6609)'
MARSUPIALIA;monodelphis_domestica;sarcophilus_harrisii;'B(0.4807,1.272)'
EOMETATHERIA;notamacropus_eugenii;sarcophilus_harrisii;'B(0.2304,0.56)'
