Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g1_n1	0.109	0.07	0.16
r_g1_n2	0.122	0.1	0.14
r_g1_n3	0.122	0.1	0.15
r_g1_n4	0.139	0.12	0.17
r_g1_n5	0.088	0.08	0.1
r_g1_n6	0.116	0.1	0.13
r_g1_n7	0.19	0.18	0.21
r_g1_n8	0.146	0.13	0.16
r_g1_n9	0.081	0.07	0.09
r_g1_n10	0.262	0.25	0.28
r_g1_n11	0.225	0.21	0.24
r_g1_n12	0.111	0.1	0.12
r_g1_n13	0.151	0.14	0.16
r_g1_n14	0.123	0.1	0.15
r_g1_n15	0.126	0.1	0.16
r_g1_n16	0.091	0.07	0.12
r_g1_n17	0.119	0.11	0.13
r_g1_n18	0.136	0.12	0.15
r_g1_n19	0.096	0.09	0.11
r_g1_n20	0.088	0.08	0.09
r_g1_n21	0.096	0.09	0.1
r_g1_n22	0.111	0.11	0.12
r_g1_n23	0.08	0.08	0.08
r_g1_n24	0.091	0.08	0.1
r_g1_n25	0.105	0.08	0.13
r_g1_n26	0.082	0.06	0.1
r_g1_n27	0.136	0.13	0.14
r_g1_n28	0.117	0.11	0.12
r_g1_n29	0.203	0.19	0.21
r_g1_n30	0.131	0.13	0.13
r_g1_n31	0.15	0.13	0.18
r_g1_n32	0.12	0.1	0.14
r_g1_n33	0.06	0.04	0.08
r_g1_n34	0.123	0.09	0.16
r_g1_n35	0.141	0.12	0.16
r_g1_n36	0.22	0.19	0.25
r_g1_n37	0.221	0.21	0.23
r_g1_n38	0.203	0.19	0.21
r_g1_n39	0.168	0.16	0.18
r_g1_n40	0.189	0.16	0.22
r_g1_n41	0.174	0.15	0.21
r_g1_n42	0.174	0.16	0.2
r_g1_n43	0.218	0.2	0.25
r_g1_n44	0.18	0.16	0.21
r_g1_n45	0.156	0.13	0.19
r_g1_n46	0.145	0.11	0.18
r_g1_n47	0.152	0.12	0.19
r_g1_n48	0.241	0.22	0.26
r_g1_n49	0.158	0.14	0.18
r_g1_n50	0.087	0.07	0.11
r_g1_n51	0.13	0.1	0.17
r_g1_n52	0.124	0.12	0.13
r_g1_n53	0.108	0.09	0.13
r_g1_n54	0.137	0.11	0.17
r_g1_n55	0.13	0.1	0.16
r_g1_n56	0.11	0.09	0.14
r_g1_n57	0.117	0.1	0.13
r_g1_n58	0.1	0.08	0.12
r_g1_n59	0.118	0.1	0.14
r_g1_n60	0.11	0.09	0.13
r_g1_n61	0.111	0.09	0.14
r_g1_n62	0.122	0.09	0.16
r_g1_n63	0.07	0.05	0.09
r_g1_n64	0.127	0.1	0.15
r_g1_n65	0.083	0.06	0.11
r_g1_n66	0.103	0.08	0.13
r_g1_n67	0.09	0.08	0.1
r_g1_n68	0.079	0.07	0.09
r_g1_n69	0.065	0.06	0.07
r_g1_n70	0.076	0.06	0.1
r_g1_n71	0.082	0.06	0.11
r_g1_n72	0.058	0.05	0.07
r_g1_n74	0.136	0.06	0.26
r_g1_n75	0.122	0.11	0.14
r_g1_n76	0.141	0.1	0.2
r_g1_n77	0.207	0.18	0.25
r_g1_n78	0.138	0.09	0.2
r_g1_n79	0.132	0.09	0.19
