Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n73_MAMMALIA	205.317	164.35	250.61	B(1.641,2.522)
t_n74_THERIA	139.671	122.88	163.87	B(1.2156,1.694)
t_n75_MARSUPIALIA	58.409	44.93	70.03	B(0.4807,1.272)
t_n76_EOMETATHERIA	47.746	35.95	56.63	B(0.2304,0.56)
t_n77_PLACENTALIA	79.992	77.4	83.15	B(0.6166,1.625)
t_n78	78.513	76.08	81.47	0
t_n79_XENARTHRA	62.233	56.42	66.86	B(0.4807,1.625)
t_n80_AFROTHERIA	65.62	62.28	69.31	B(0.56,1.625)
t_n81_PAENUNGULATA	56.619	52.81	61.61	B(0.56,1.625)
t_n82	74.991	73.03	77.32	0
t_n83	69.772	68.25	71.68	0
t_n84_LIPOTYPHLA	58.524	55.29	61.45	B(0.6166,1.625)
t_n85	68.125	66.68	70	0
t_n86_CHIROPTERA	58.741	55.56	61.47	B(0.4807,0.6609)
t_n87	67.462	66.04	69.32	0
t_n88_CARNIVORA	52.283	48	55.59	B(0.3771,0.6609)
t_n89	15.661	11.87	19.46	0
t_n90	8.009	5.78	10.36	0
t_n91_CANIFORMIA	44.929	40.02	49.05	B(0.3771,0.6609)
t_n92	38.118	33	42.89	0
t_n93_EUUNGULATA	66.32	64.92	68.15	B(0.507,0.6609)
t_n94_ARTIODACTYLA	57.53	55.86	59.13	B(0.507,0.6609)
t_n95	55.081	53.34	56.61	0
t_n96_WHIP-RUM	50.182	48.24	51.69	B(0.507,0.6609)
t_n97_BOV-ANTIL	18.781	15.95	23.24	B(0.1599,0.2729)
t_n98	8.254	6.44	10.76	0
t_n99_EUARCHONTOGLIRES	69.745	68.16	71.43	B(0.6166,1.625)
t_n100	68.92	67.36	70.52	0
t_n101_GLIRES	66.191	64.75	67.57	B(0.56,1.625)
t_n102_LAGOMORPHA	48.149	46.19	50.18	B(0.4807,0.6609)
t_n103_RODENTIA	60.76	59.49	62.04	B(0.56,0.6609)
t_n104_ROD-NOSQUIRREL	59.286	57.99	60.61	B(0.4807,0.5924)
t_n105	41.029	38.25	43.9	0
t_n106	31.867	28.53	35.15	0
t_n107	35.487	32.67	38.39	0
t_n108	9.009	7.26	10.9	0
t_n109	31.779	28.91	34.76	0
t_n110	54.818	53.1	56.48	0
t_n111_DIPOD-RATT	46	42.56	48.98	B(0.4103,0.5924)
t_n112	37.14	32.88	41.22	0
t_n113	20.413	16.51	25.24	0
t_n114	16.244	13	20.4	0
t_n115	10.667	8.4	13.79	0
t_n116	15.267	12.19	19.24	0
t_n117_MURIDAE	10.94	8.48	14.26	B(0.0725,0.1599)
t_n118	5.407	4.07	7.3	0
t_n119	2.798	2.08	3.84	0
t_n120	1.316	0.97	1.83	0
t_n121_PRIMATES	64.917	63.24	66.23	B(0.56,0.6609)
t_n122_STREPSIRHINI	53.205	49.29	55.95	B(0.339,0.6609)
t_n123	35.657	29.97	40.89	0
t_n124	61.632	59.74	63.17	0
t_n125_ANTHROPOIDEA	40.315	37.11	43.33	B(0.339,0.6609)
t_n126	18.511	15.18	21.65	0
t_n127	17.79	14.56	20.86	0
t_n128	16.282	13.26	19.19	0
t_n129_CATARRHINI	30.363	27.66	32.96	B(0.2444,0.339)
t_n130	18.265	16.07	20.47	0
t_n131_CERCOPITHECINAE	13.701	11.85	15.56	B(0.0533,0.339)
t_n132_PAPIONINI	10.447	8.91	12	B(0.0533,0.339)
t_n133	8.887	7.54	10.27	0
t_n134	7.457	6.29	8.68	0
t_n135	5.759	4.8	6.79	0
t_n136	4.243	3.5	5.06	0
t_n137	13.242	11.44	15.14	0
t_n138	4.071	3.26	5.03	0
t_n139	22.68	20.3	24.91	0
t_n140_HOMINIDAE	20.162	17.92	22.23	B(0.1165,0.339)
t_n141_GORILLA-HUMAN	11.385	9.83	12.4	B(0.0533,0.339)
t_n142_HOMININI	9.302	7.99	10.1	B(0.065,0.1)
t_n143	3.812	3.15	4.42	0
