Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n73_MAMMALIA	204.368	164.03	250.57	B(1.641,2.522)
t_n74_THERIA	140.793	123.17	166	B(1.2156,1.694)
t_n75_MARSUPIALIA	57.958	44.86	69.95	B(0.4807,1.272)
t_n76_EOMETATHERIA	47.341	35.97	56.55	B(0.2304,0.56)
t_n77_PLACENTALIA	80.528	77.48	84.65	B(0.6166,1.625)
t_n78	79.032	76.15	82.92	0
t_n79_XENARTHRA	62.597	56.27	67.58	B(0.4807,1.625)
t_n80_AFROTHERIA	66.055	62.35	69.86	B(0.56,1.625)
t_n81_PAENUNGULATA	57.006	52.87	62.12	B(0.56,1.625)
t_n82	75.371	73.11	78.71	0
t_n83	70.005	68.3	72.99	0
t_n84_LIPOTYPHLA	58.654	55.31	61.73	B(0.6166,1.625)
t_n85	68.332	66.73	71.2	0
t_n86_CHIROPTERA	58.806	55.6	61.82	B(0.4807,0.6609)
t_n87	67.657	66.09	70.49	0
t_n88_CARNIVORA	52.348	48.06	55.78	B(0.3771,0.6609)
t_n89	15.66	11.84	19.44	0
t_n90	8.006	5.76	10.34	0
t_n91_CANIFORMIA	44.98	40.12	49.16	B(0.3771,0.6609)
t_n92	38.162	33.09	42.95	0
t_n93_EUUNGULATA	66.424	64.96	69.11	B(0.507,0.6609)
t_n94_ARTIODACTYLA	57.574	55.88	59.37	B(0.507,0.6609)
t_n95	55.115	53.35	56.78	0
t_n96_WHIP-RUM	50.199	48.24	51.79	B(0.507,0.6609)
t_n97_BOV-ANTIL	18.789	15.94	23.23	B(0.1599,0.2729)
t_n98	8.259	6.43	10.85	0
t_n99_EUARCHONTOGLIRES	69.904	68.23	72.02	B(0.6166,1.625)
t_n100	69.064	67.43	71.02	0
t_n101_GLIRES	66.293	64.81	67.84	B(0.56,1.625)
t_n102_LAGOMORPHA	48.161	46.21	50.19	B(0.4807,0.6609)
t_n103_RODENTIA	60.792	59.56	62.08	B(0.56,0.6609)
t_n104_ROD-NOSQUIRREL	59.314	58.05	60.64	B(0.4807,0.5924)
t_n105	41.089	38.35	43.95	0
t_n106	31.92	28.66	35.22	0
t_n107	35.545	32.77	38.46	0
t_n108	9.019	7.26	10.93	0
t_n109	31.833	29	34.83	0
t_n110	54.843	53.17	56.52	0
t_n111_DIPOD-RATT	46.033	42.63	49.02	B(0.4103,0.5924)
t_n112	37.173	32.94	41.26	0
t_n113	20.444	16.54	25.26	0
t_n114	16.275	13.02	20.41	0
t_n115	10.697	8.41	13.81	0
t_n116	15.297	12.21	19.25	0
t_n117_MURIDAE	10.962	8.46	14.23	B(0.0725,0.1599)
t_n118	5.422	4.07	7.27	0
t_n119	2.806	2.08	3.83	0
t_n120	1.32	0.97	1.82	0
t_n121_PRIMATES	64.957	63.31	66.25	B(0.56,0.6609)
t_n122_STREPSIRHINI	53.166	49.13	55.93	B(0.339,0.6609)
t_n123	35.539	29.78	40.9	0
t_n124	61.64	59.76	63.16	0
t_n125_ANTHROPOIDEA	40.191	36.72	43.24	B(0.339,0.6609)
t_n126	18.183	13.79	21.45	0
t_n127	17.473	13.21	20.65	0
t_n128	15.987	12.03	18.99	0
t_n129_CATARRHINI	30.245	27.31	32.91	B(0.2444,0.339)
t_n130	18.186	15.86	20.43	0
t_n131_CERCOPITHECINAE	13.64	11.69	15.54	B(0.0533,0.339)
t_n132_PAPIONINI	10.4	8.81	11.98	B(0.0533,0.339)
t_n133	8.847	7.45	10.25	0
t_n134	7.423	6.22	8.66	0
t_n135	5.732	4.75	6.78	0
t_n136	4.223	3.46	5.05	0
t_n137	13.181	11.29	15.11	0
t_n138	4.053	3.23	5.02	0
t_n139	22.583	20.06	24.87	0
t_n140_HOMINIDAE	20.075	17.72	22.19	B(0.1165,0.339)
t_n141_GORILLA-HUMAN	11.346	9.71	12.39	B(0.0533,0.339)
t_n142_HOMININI	9.272	7.88	10.09	B(0.065,0.1)
t_n143	3.799	3.11	4.41	0
