Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n73_MAMMALIA	221.248	183.69	251.66	B(1.641,2.522)
t_n74_THERIA	164.89	152.82	172.05	B(1.2156,1.694)
t_n75_MARSUPIALIA	60.474	50.68	70.92	B(0.4807,1.272)
t_n76_EOMETATHERIA	48.611	39.4	56.46	B(0.2304,0.56)
t_n77_PLACENTALIA	89.187	85.13	93.97	B(0.6166,1.625)
t_n78	86.805	82.71	91.62	0
t_n79_XENARTHRA	62.582	53.65	71.88	B(0.4807,1.625)
t_n80_AFROTHERIA	69.594	64.36	75.03	B(0.56,1.625)
t_n81_PAENUNGULATA	57.176	52.69	63.3	B(0.56,1.625)
t_n82	81.447	78.41	85.06	0
t_n83	72.539	70.5	75.04	0
t_n84_LIPOTYPHLA	59.293	54.85	63.07	B(0.6166,1.625)
t_n85	69.706	68.02	72.03	0
t_n86_CHIROPTERA	56.482	52.15	61.18	B(0.4807,0.6609)
t_n87	68.673	67.03	70.96	0
t_n88_CARNIVORA	44.301	40.88	48.57	B(0.3771,0.6609)
t_n89	4.152	3.33	5.2	0
t_n90	2.039	1.55	2.64	0
t_n91_CANIFORMIA	37.83	34.91	41.24	B(0.3771,0.6609)
t_n92	31.54	28.16	35.37	0
t_n93_EUUNGULATA	66.883	65.37	69.07	B(0.507,0.6609)
t_n94_ARTIODACTYLA	58.263	56.07	60.44	B(0.507,0.6609)
t_n95	55.36	53.25	57.38	0
t_n96_WHIP-RUM	50.332	48.29	51.96	B(0.507,0.6609)
t_n97_BOV-ANTIL	16.39	14.92	18.58	B(0.1599,0.2729)
t_n98	6.355	4.93	8.06	0
t_n99_EUARCHONTOGLIRES	74.155	71.72	77.32	B(0.6166,1.625)
t_n100	72.96	70.55	76.08	0
t_n101_GLIRES	69.488	67.23	72.46	B(0.56,1.625)
t_n102_LAGOMORPHA	49.11	46.85	53	B(0.4807,0.6609)
t_n103_RODENTIA	62.491	60.86	64.98	B(0.56,0.6609)
t_n104_ROD-NOSQUIRREL	60.181	58.76	62.53	B(0.4807,0.5924)
t_n105	40.174	36.6	43.86	0
t_n106	28.011	23.88	32.36	0
t_n107	32.377	29.07	36.25	0
t_n108	4.182	3.13	5.55	0
t_n109	27.194	23.82	31.14	0
t_n110	55.664	53.75	58.07	0
t_n111_DIPOD-RATT	48.692	46.19	51.36	B(0.4103,0.5924)
t_n112	41.508	38.78	44.22	0
t_n113	30.594	28.07	33.05	0
t_n114	24.708	22.01	27.17	0
t_n115	15.712	13.24	18.23	0
t_n116	22.769	19.99	25.26	0
t_n117_MURIDAE	16.212	15.19	17.5	B(0.0725,0.1599)
t_n118	9.722	8.46	11.09	0
t_n119	5.504	4.54	6.61	0
t_n120	2.698	2.09	3.41	0
t_n121_PRIMATES	64.125	60.4	66.33	B(0.56,0.6609)
t_n122_STREPSIRHINI	45.456	39.15	52.44	B(0.339,0.6609)
t_n123	25.58	19.49	31.5	0
t_n124	59.771	55.84	62.59	0
t_n125_ANTHROPOIDEA	32.546	29.85	34.9	B(0.339,0.6609)
t_n126	12.812	10.38	15.64	0
t_n127	12.306	9.87	15.14	0
t_n128	11.254	8.84	14.04	0
t_n129_CATARRHINI	23.643	21.55	24.99	B(0.2444,0.339)
t_n130	7.276	6.37	8.44	0
t_n131_CERCOPITHECINAE	5.045	4.4	5.75	B(0.0533,0.339)
t_n132_PAPIONINI	3.67	3.17	4.22	B(0.0533,0.339)
t_n133	3.105	2.62	3.63	0
t_n134	2.598	2.12	3.12	0
t_n135	1.681	1.36	2.03	0
t_n136	1.207	0.92	1.52	0
t_n137	5.037	4.16	6.09	0
t_n138	1.441	1.1	1.87	0
t_n139	12.94	11.43	14.73	0
t_n140_HOMINIDAE	11.74	10.31	13.47	B(0.1165,0.339)
t_n141_GORILLA-HUMAN	6.978	6.16	7.57	B(0.0533,0.339)
t_n142_HOMININI	6.25	5.46	6.74	B(0.065,0.1)
t_n143	1.539	1.13	2.06	0
