Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g1_n1	0.066	0	0.26
r_g1_n2	0.066	0	0.26
r_g1_n3	0.066	0	0.26
r_g1_n4	0.066	0	0.26
r_g1_n5	0.066	0	0.26
r_g1_n6	0.066	0	0.26
r_g1_n7	0.066	0	0.26
r_g1_n8	0.066	0	0.26
r_g1_n9	0.066	0	0.26
r_g1_n10	0.066	0	0.26
r_g1_n11	0.066	0	0.25
r_g1_n12	0.066	0	0.26
r_g1_n13	0.066	0	0.26
r_g1_n14	0.066	0	0.26
r_g1_n15	0.066	0	0.26
r_g1_n16	0.066	0	0.26
r_g1_n17	0.066	0	0.26
r_g1_n18	0.066	0	0.26
r_g1_n19	0.066	0	0.26
r_g1_n20	0.066	0	0.26
r_g1_n21	0.066	0	0.26
r_g1_n22	0.066	0	0.26
r_g1_n23	0.066	0	0.26
r_g1_n24	0.066	0	0.26
r_g1_n25	0.066	0	0.26
r_g1_n26	0.066	0	0.26
r_g1_n27	0.066	0	0.26
r_g1_n28	0.066	0	0.26
r_g1_n29	0.066	0	0.26
r_g1_n30	0.066	0	0.26
r_g1_n31	0.066	0	0.26
r_g1_n32	0.066	0	0.26
r_g1_n33	0.066	0	0.26
r_g1_n34	0.066	0	0.26
r_g1_n35	0.066	0	0.26
r_g1_n36	0.066	0	0.26
r_g1_n37	0.066	0	0.26
r_g1_n38	0.066	0	0.26
r_g1_n39	0.066	0	0.26
r_g1_n40	0.066	0	0.26
r_g1_n41	0.066	0	0.26
r_g1_n42	0.066	0	0.26
r_g1_n43	0.066	0	0.26
r_g1_n44	0.066	0	0.26
r_g1_n45	0.066	0	0.26
r_g1_n46	0.066	0	0.26
r_g1_n47	0.066	0	0.26
r_g1_n48	0.066	0	0.26
r_g1_n49	0.066	0	0.26
r_g1_n50	0.066	0	0.26
r_g1_n51	0.066	0	0.26
r_g1_n52	0.066	0	0.26
r_g1_n53	0.066	0	0.26
r_g1_n54	0.066	0	0.26
r_g1_n55	0.066	0	0.26
r_g1_n56	0.066	0	0.26
r_g1_n57	0.066	0	0.26
r_g1_n58	0.066	0	0.26
r_g1_n59	0.066	0	0.26
r_g1_n60	0.066	0	0.26
r_g1_n61	0.066	0	0.26
r_g1_n62	0.066	0	0.26
r_g1_n63	0.066	0	0.26
r_g1_n64	0.066	0	0.26
r_g1_n65	0.066	0	0.26
r_g1_n66	0.066	0	0.26
r_g1_n67	0.066	0	0.26
r_g1_n68	0.066	0	0.26
r_g1_n69	0.066	0	0.26
r_g1_n70	0.066	0	0.26
r_g1_n71	0.066	0	0.26
r_g1_n72	0.066	0	0.26
r_g1_n74	0.066	0	0.24
r_g1_n75	0.066	0	0.25
r_g1_n76	0.066	0	0.26
r_g1_n77	0.066	0	0.25
r_g1_n78	0.066	0	0.25
r_g1_n79	0.066	0	0.25
r_g1_n80	0.066	0	0.25
r_g1_n81	0.066	0	0.25
r_g1_n82	0.066	0	0.25
r_g1_n83	0.066	0	0.25
r_g1_n84	0.066	0	0.25
r_g1_n85	0.066	0	0.25
r_g1_n86	0.066	0	0.25
r_g1_n87	0.066	0	0.25
r_g1_n88	0.066	0	0.25
r_g1_n89	0.066	0	0.26
r_g1_n90	0.066	0	0.26
r_g1_n91	0.066	0	0.25
r_g1_n92	0.066	0	0.26
r_g1_n93	0.066	0	0.25
r_g1_n94	0.066	0	0.25
r_g1_n95	0.066	0	0.25
r_g1_n96	0.066	0	0.25
r_g1_n97	0.066	0	0.26
r_g1_n98	0.066	0	0.26
r_g1_n99	0.066	0	0.25
r_g1_n100	0.066	0	0.25
r_g1_n101	0.066	0	0.25
r_g1_n102	0.066	0	0.25
r_g1_n103	0.066	0	0.25
r_g1_n104	0.066	0	0.25
r_g1_n105	0.066	0	0.25
r_g1_n106	0.066	0	0.26
r_g1_n107	0.066	0	0.25
r_g1_n108	0.066	0	0.26
r_g1_n109	0.066	0	0.26
r_g1_n110	0.066	0	0.25
r_g1_n111	0.066	0	0.25
r_g1_n112	0.066	0	0.26
r_g1_n113	0.066	0	0.26
r_g1_n114	0.066	0	0.26
r_g1_n115	0.066	0	0.26
r_g1_n116	0.066	0	0.26
r_g1_n117	0.066	0	0.26
r_g1_n118	0.066	0	0.26
r_g1_n119	0.066	0	0.26
r_g1_n120	0.066	0	0.26
r_g1_n121	0.066	0	0.25
r_g1_n122	0.066	0	0.25
r_g1_n123	0.066	0	0.26
r_g1_n124	0.066	0	0.25
r_g1_n125	0.066	0	0.25
r_g1_n126	0.066	0	0.26
r_g1_n127	0.066	0	0.26
r_g1_n128	0.066	0	0.26
r_g1_n129	0.066	0	0.25
r_g1_n130	0.066	0	0.25
r_g1_n131	0.066	0	0.26
r_g1_n132	0.066	0	0.26
r_g1_n133	0.066	0	0.26
r_g1_n134	0.066	0	0.26
r_g1_n135	0.066	0	0.26
r_g1_n136	0.066	0	0.26
r_g1_n137	0.066	0	0.26
r_g1_n138	0.066	0	0.26
r_g1_n139	0.066	0	0.26
r_g1_n140	0.066	0	0.26
r_g1_n141	0.066	0	0.26
r_g1_n142	0.066	0	0.26
r_g1_n143	0.066	0	0.26
r_g2_n1	0.045	0	0.2
r_g2_n2	0.044	0	0.21
