Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n73_MAMMALIA	208.613	164.52	252.29	B(1.641,2.522)
t_n74_THERIA	145.508	121.69	169.3	B(1.2156,1.694)
t_n75_MARSUPIALIA	84.416	47.99	126.46	B(0.4807,1.272)
t_n76_EOMETATHERIA	36.603	22.74	55.42	B(0.2304,0.56)
t_n77_PLACENTALIA	65.414	63.82	66.07	B(0.6166,0.6609,0.025,1e-300)
t_n78	64.039	59.54	65.92	0
t_n79_XENARTHRA	55.804	47.98	64.81	B(0.4807,0.6609)
t_n80_AFROTHERIA	61.733	56.88	65.46	B(0.56,0.6609)
t_n81_PAENUNGULATA	58.726	55.73	63.84	B(0.56,0.6609)
t_n82	65.13	63.42	66	0
t_n83	64.623	62.49	65.91	0
t_n84_LIPOTYPHLA	63.358	61.63	65.53	B(0.6166,0.6609)
t_n85	63.61	59.26	65.76	0
t_n86_CHIROPTERA	55.516	47.96	64.42	B(0.4807,0.6609)
t_n87	62.254	56.61	65.48	0
t_n88_CARNIVORA	55.185	41.79	64.12	B(0.3771,0.6609)
t_n89	32.895	4.81	60.07	0
t_n90	14.03	0.42	52.27	0
t_n91_CANIFORMIA	46.308	37.19	59.54	B(0.3771,0.6609)
t_n92	17.524	0.73	51.6	0
t_n93_EUUNGULATA	59.867	53.68	64.73	B(0.507,0.6609)
t_n94_ARTIODACTYLA	57.118	51.63	63.1	B(0.507,0.6609)
t_n95	55.007	50.73	61.23	0
t_n96_WHIP-RUM	52.783	49.98	58.15	B(0.507,0.6609)
t_n97_BOV-ANTIL	22.109	16.05	27.34	B(0.1599,0.2729)
t_n98	9.772	0.47	24.07	0
t_n99_EUARCHONTOGLIRES	64.504	62.28	65.88	B(0.6166,0.6609)
t_n100	63.253	59.37	65.55	0
t_n101_GLIRES	61.667	57.42	65.01	B(0.56,0.6609)
t_n102_LAGOMORPHA	54.266	47.89	62.53	B(0.4807,0.6609)
t_n103_RODENTIA	59.281	55.97	63.49	B(0.56,0.6609)
t_n104_ROD-NOSQUIRREL	55.844	49.79	59.37	B(0.4807,0.5924)
t_n105	45.381	15.03	58.26	0
t_n106	18.688	0.71	53.77	0
t_n107	30.242	6.33	55.97	0
t_n108	12.878	0.47	47.59	0
t_n109	12.897	0.47	47.23	0
t_n110	52.733	43.97	58.48	0
t_n111_DIPOD-RATT	48.138	40.92	56.7	B(0.4103,0.5924)
t_n112	35.873	16.53	54.31	0
t_n113	26.926	11.37	51.37	0
t_n114	17.842	4.81	41.3	0
t_n115	8.507	0.36	26.18	0
t_n116	8.525	0.34	26.23	0
t_n117_MURIDAE	12.275	7.44	16.07	B(0.0725,0.1599)
t_n118	9.314	3.25	15.16	0
t_n119	6.803	1.15	13.81	0
t_n120	3.847	0.11	11.37	0
t_n121_PRIMATES	61.729	56.31	65.28	B(0.56,0.6609)
t_n122_STREPSIRHINI	48.02	33.67	62.84	B(0.339,0.6609)
t_n123	19.177	0.71	55.61	0
t_n124	55.901	41.72	64.15	0
t_n125_ANTHROPOIDEA	46.457	33.88	61.25	B(0.339,0.6609)
t_n126	29.203	6.92	56.59	0
t_n127	12.62	0.48	44.04	0
t_n128	12.593	0.48	43.69	0
t_n129_CATARRHINI	30.545	24.96	34.08	B(0.2444,0.339)
t_n130	26.937	15.85	33.39	0
t_n131_CERCOPITHECINAE	22.78	10.1	32.26	B(0.0533,0.339)
t_n132_PAPIONINI	16.848	5.8	28.87	B(0.0533,0.339)
t_n133	10.727	2.07	23.94	0
t_n134	5.851	0.2	16.36	0
t_n135	10.717	2.05	23.88	0
t_n136	5.835	0.19	16.46	0
t_n137	16.035	3.12	31.03	0
t_n138	7.889	0.28	24.18	0
t_n139	24.96	13.48	33.14	0
t_n140_HOMINIDAE	19.875	11.53	31.25	B(0.1165,0.339)
t_n141_GORILLA-HUMAN	13.122	7.4	24.86	B(0.0533,0.339)
t_n142_HOMININI	8.009	6.47	9.95	B(0.065,0.1)
t_n143	3.996	0.2	8.6	0
