Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n73_MAMMALIA	209.305	165.49	252.23	B(1.641,2.522)
t_n74_THERIA	157.268	130.67	170.48	B(1.2156,1.694)
t_n75_MARSUPIALIA	91.538	48.83	127.74	B(0.4807,1.272)
t_n76_EOMETATHERIA	36.867	22.71	55.55	B(0.2304,0.56)
t_n77_PLACENTALIA	143.633	112.45	163.52	B(0.6166,1.625)
t_n78	130.878	89.81	159.76	0
t_n79_XENARTHRA	92.554	46.99	148.09	B(0.4807,1.625)
t_n80_AFROTHERIA	110.879	65.8	152.7	B(0.56,1.625)
t_n81_PAENUNGULATA	82.915	52.91	131.93	B(0.56,1.625)
t_n82	136.468	101.91	160.94	0
t_n83	123.897	81.32	157.15	0
t_n84_LIPOTYPHLA	96.398	60.53	145.52	B(0.6166,1.625)
t_n85	103.066	62.96	149.71	0
t_n86_CHIROPTERA	56.291	48.02	66	B(0.4807,0.6609)
t_n87	82.109	58.19	134.21	0
t_n88_CARNIVORA	56.814	42.22	66.36	B(0.3771,0.6609)
t_n89	32.955	4.79	61.02	0
t_n90	13.894	0.46	52.01	0
t_n91_CANIFORMIA	47.14	37.28	61.32	B(0.3771,0.6609)
t_n92	17.773	0.72	52.22	0
t_n93_EUUNGULATA	61.709	54.39	66.39	B(0.507,0.6609)
t_n94_ARTIODACTYLA	58.096	51.84	64.78	B(0.507,0.6609)
t_n95	55.453	50.82	62.42	0
t_n96_WHIP-RUM	53.074	50.04	59.07	B(0.507,0.6609)
t_n97_BOV-ANTIL	22.132	16.05	27.35	B(0.1599,0.2729)
t_n98	9.814	0.47	24.23	0
t_n99_EUARCHONTOGLIRES	121.833	79.31	155.93	B(0.6166,1.625)
t_n100	104.102	64.75	146.27	0
t_n101_GLIRES	86.378	60.69	131.78	B(0.56,1.625)
t_n102_LAGOMORPHA	56.162	48.03	65.91	B(0.4807,0.6609)
t_n103_RODENTIA	61.418	56.27	66.11	B(0.56,0.6609)
t_n104_ROD-NOSQUIRREL	56.037	49.79	59.46	B(0.4807,0.5924)
t_n105	44.597	14.42	58.27	0
t_n106	18.104	0.7	53.41	0
t_n107	29.148	6.12	55.57	0
t_n108	12.423	0.47	44.86	0
t_n109	12.418	0.44	44.59	0
t_n110	52.733	43.83	58.58	0
t_n111_DIPOD-RATT	48.109	40.91	56.81	B(0.4103,0.5924)
t_n112	35.446	16.56	54.09	0
t_n113	26.535	11.38	50.93	0
t_n114	17.641	4.73	39.35	0
t_n115	8.457	0.35	25.8	0
t_n116	8.478	0.33	25.7	0
t_n117_MURIDAE	12.27	7.44	16.06	B(0.0725,0.1599)
t_n118	9.306	3.25	15.16	0
t_n119	6.79	1.13	13.8	0
t_n120	3.84	0.11	11.34	0
t_n121_PRIMATES	62.059	56.2	66.25	B(0.56,0.6609)
t_n122_STREPSIRHINI	47.998	33.69	63.16	B(0.339,0.6609)
t_n123	18.71	0.74	54.49	0
t_n124	54.863	40.62	64.67	0
t_n125_ANTHROPOIDEA	45.682	33.82	60.3	B(0.339,0.6609)
t_n126	27.982	6.78	54.79	0
t_n127	12.072	0.47	37.32	0
t_n128	12.08	0.47	37.58	0
t_n129_CATARRHINI	30.506	24.92	34.07	B(0.2444,0.339)
t_n130	26.905	15.75	33.39	0
t_n131_CERCOPITHECINAE	22.752	10.16	32.26	B(0.0533,0.339)
t_n132_PAPIONINI	16.793	5.82	28.78	B(0.0533,0.339)
t_n133	10.704	2.05	23.9	0
t_n134	5.828	0.19	16.42	0
t_n135	10.683	2.06	23.82	0
t_n136	5.8	0.19	16.34	0
t_n137	16.044	3.1	30.94	0
t_n138	7.915	0.29	24.34	0
t_n139	24.968	13.49	33.13	0
t_n140_HOMINIDAE	19.927	11.53	31.24	B(0.1165,0.339)
t_n141_GORILLA-HUMAN	13.161	7.43	24.94	B(0.0533,0.339)
t_n142_HOMININI	8.009	6.47	9.95	B(0.065,0.1)
t_n143	4	0.19	8.61	0
