mean_t-Post-K-Pg	2.5%q-Post-K-Pg	97.5%q-Post-K-Pg	mean_t-Unconstrained	2.5%q-Unconstrained	97.5%q-Unconstrained
tn73|MAMMALIA	197.956	165.39	242.08	221.248	183.69	251.66
tn74|THERIA	147.59	125.56	168.56	164.89	152.82	172.05
tn75|MARSUPIALIA	54.812	45.37	65.09	60.474	50.68	70.92
tn76|EOMETATHERIA	44.402	34.23	54.85	48.611	39.4	56.46
tn77|PLACENTALIA	66.04	65.91	66.09	89.187	85.13	93.97
tn78	64.6	63.89	65.14	86.805	82.71	91.62
tn79|XENARTHRA	50.266	47.55	53.89	62.582	53.65	71.88
tn80|AFROTHERIA	59.43	57.57	60.86	69.594	64.36	75.03
tn81|PAENUNGULATA	55.107	52.97	56.44	57.176	52.69	63.3
tn82	64.615	64.16	65.02	81.447	78.41	85.06
tn83	62.757	61.89	63.49	72.539	70.5	75.04
tn84|LIPOTYPHLA	59.91	58.57	61.06	59.293	54.85	63.07
tn85	61.003	59.79	62.05	69.706	68.02	72.03
tn86|CHIROPTERA	50.928	48.02	54.24	56.482	52.15	61.18
tn87	60.225	58.98	61.35	68.673	67.03	70.96
tn88|CARNIVORA	42.626	38.84	46.74	44.301	40.88	48.57
tn89	3.413	2.59	4.44	4.152	3.33	5.2
tn90	1.694	1.19	2.35	2.039	1.55	2.64
tn91|CANIFORMIA	37.281	34.04	40.37	37.83	34.91	41.24
tn92	31.739	27.32	35.77	31.54	28.16	35.37
tn93|EUUNGULATA	58.995	57.6	60.26	66.883	65.37	69.07
tn94|ARTIODACTYLA	53.542	51.08	55.8	58.263	56.07	60.44
tn95	51.422	48.81	53.84	55.36	53.25	57.38
tn96|WHIP-RUM	48.101	45.2	50.61	50.332	48.29	51.96
tn97|BOV-ANTIL	16.778	15.05	19.68	16.39	14.92	18.58
tn98	5.916	3.88	8.15	6.355	4.93	8.06
tn99|EUARCHONTOGLIRES	62.042	61.52	62.79	74.155	71.72	77.32
tn100	61.215	60.56	62	72.96	70.55	76.08
tn101|GLIRES	59.305	58.39	60.22	69.488	67.23	72.46
tn102|LAGOMORPHA	47.979	45.73	50.06	49.11	46.85	53
tn103|RODENTIA	55.963	54.97	56.91	62.491	60.86	64.98
tn104|ROD-NOSQUIRREL	54.215	52.94	55.39	60.181	58.76	62.53
tn105	35.484	30.44	39.84	40.174	36.6	43.86
tn106	24.809	19.23	30.31	28.011	23.88	32.36
tn107	28.698	23.61	33.26	32.377	29.07	36.25
tn108	3.517	2.45	4.94	4.182	3.13	5.55
tn109	24.206	19.2	28.95	27.194	23.82	31.14
tn110	50.018	48.05	51.88	55.664	53.75	58.07
tn111|DIPOD-RATT	43.598	41.15	46.31	48.692	46.19	51.36
tn112	36.957	33.91	40	41.508	38.78	44.22
tn113	26.798	23.67	30.25	30.594	28.07	33.05
tn114	21.316	17.87	24.97	24.708	22.01	27.17
tn115	13.623	10.3	17.1	15.712	13.24	18.23
tn116	19.63	16.13	23.35	22.769	19.99	25.26
tn117|MURIDAE	15.106	13.1	16.43	16.212	15.19	17.5
tn118	8.474	6.67	10.32	9.722	8.46	11.09
tn119	4.635	3.57	6.01	5.504	4.54	6.61
tn120	2.25	1.6	3.07	2.698	2.09	3.41
tn121|PRIMATES	56.733	55.48	58.44	64.125	60.4	66.33
tn122|STREPSIRHINI	39.507	33.82	47.12	45.456	39.15	52.44
tn123	21.256	14.34	29.55	25.58	19.49	31.5
tn124	53.1	50.34	55.42	59.771	55.84	62.59
tn125|ANTHROPOIDEA	32.226	29.15	35.1	32.546	29.85	34.9
tn126	10.725	7.33	14.11	12.812	10.38	15.64
tn127	10.295	6.92	13.66	12.306	9.87	15.14
tn128	9.408	6.22	12.81	11.254	8.84	14.04
tn129|CATARRHINI	24.396	22.86	25.93	23.643	21.55	24.99
tn130	6.449	5.32	7.66	7.276	6.37	8.44
tn131|CERCOPITHECINAE	4.521	3.7	5.33	5.045	4.4	5.75
tn132|PAPIONINI	3.28	2.64	3.93	3.67	3.17	4.22
tn133	2.791	2.17	3.44	3.105	2.62	3.63
tn134	2.354	1.74	2.99	2.598	2.12	3.12
tn135	1.475	1.09	1.87	1.681	1.36	2.03
tn136	1.065	0.72	1.43	1.207	0.92	1.52
tn137	4.375	3.39	5.62	5.037	4.16	6.09
tn138	1.246	0.86	1.75	1.441	1.1	1.87
tn139	12.295	10.5	14.56	12.94	11.43	14.73
tn140|HOMINIDAE	11.293	9.56	13.49	11.74	10.31	13.47
tn141|GORILLA-HUMAN	7.067	6.46	7.68	6.978	6.16	7.57
tn142|HOMININI	6.45	5.91	6.95	6.25	5.46	6.74
tn143	1.314	0.87	1.92	1.539	1.13	2.06
