mean_t-Post-K-Pg	2.5%q-Post-K-Pg	97.5%q-Post-K-Pg	mean_t-Unconstrained	2.5%q-Unconstrained	97.5%q-Unconstrained
tn73|MAMMALIA	197.956	165.39	242.08	221.248	183.69	251.66
tn74|THERIA	147.59	125.56	168.56	164.89	152.82	172.05
tn75|MARSUPIALIA	54.812	45.37	65.09	60.474	50.68	70.92
tn76|EOMETATHERIA	44.402	34.23	54.85	48.611	39.4	56.46
tn77|PLACENTALIA	66.04	65.91	66.09	89.187	85.13	93.97
tn79|XENARTHRA	50.266	47.55	53.89	62.582	53.65	71.88
tn80|AFROTHERIA	59.43	57.57	60.86	69.594	64.36	75.03
tn81|PAENUNGULATA	55.107	52.97	56.44	57.176	52.69	63.3
tn84|LIPOTYPHLA	59.91	58.57	61.06	59.293	54.85	63.07
tn86|CHIROPTERA	50.928	48.02	54.24	56.482	52.15	61.18
tn88|CARNIVORA	42.626	38.84	46.74	44.301	40.88	48.57
tn91|CANIFORMIA	37.281	34.04	40.37	37.83	34.91	41.24
tn93|EUUNGULATA	58.995	57.6	60.26	66.883	65.37	69.07
tn94|ARTIODACTYLA	53.542	51.08	55.8	58.263	56.07	60.44
tn96|WHIP-RUM	48.101	45.2	50.61	50.332	48.29	51.96
tn97|BOV-ANTIL	16.778	15.05	19.68	16.39	14.92	18.58
tn99|EUARCHONTOGLIRES	62.042	61.52	62.79	74.155	71.72	77.32
tn101|GLIRES	59.305	58.39	60.22	69.488	67.23	72.46
tn102|LAGOMORPHA	47.979	45.73	50.06	49.11	46.85	53
tn103|RODENTIA	55.963	54.97	56.91	62.491	60.86	64.98
tn104|ROD-NOSQUIRREL	54.215	52.94	55.39	60.181	58.76	62.53
tn111|DIPOD-RATT	43.598	41.15	46.31	48.692	46.19	51.36
tn117|MURIDAE	15.106	13.1	16.43	16.212	15.19	17.5
tn121|PRIMATES	56.733	55.48	58.44	64.125	60.4	66.33
tn122|STREPSIRHINI	39.507	33.82	47.12	45.456	39.15	52.44
tn125|ANTHROPOIDEA	32.226	29.15	35.1	32.546	29.85	34.9
tn129|CATARRHINI	24.396	22.86	25.93	23.643	21.55	24.99
tn131|CERCOPITHECINAE	4.521	3.7	5.33	5.045	4.4	5.75
tn132|PAPIONINI	3.28	2.64	3.93	3.67	3.17	4.22
tn140|HOMINIDAE	11.293	9.56	13.49	11.74	10.31	13.47
tn141|GORILLA-HUMAN	7.067	6.46	7.68	6.978	6.16	7.57
tn142|HOMININI	6.45	5.91	6.95	6.25	5.46	6.74
