name;leaf1;leaf2;MCMCtree
CNIDARIA;Acropora_m;Hydra_magn;'B(5.29,6.361,0.001,0.025)'
EUARCHONTOGLIRES;Homo_sapie;Mus_muscul;'B(0.616,1.646,0.001,0.025)'
MAMMALIA;Homo_sapie;Ornithorhy;'B(1.649,2.015,0.001,0.025)'
AMNIOTA;Gallus_gal;Ornithorhy;'B(3.18,3.329,0.001,0.025)'
TETRAPODA;Gallus_gal;Xenopus_tr;'B(3.37,3.51,0.001,0.025)'
OSTEICHTHYES;Danio_reri;Xenopus_tr;'B(4.207,4.537,0.001,0.025)'
GNATHOSTOMATA;Danio_reri;Leucoraja_;'B(4.207,4.684,0.001,0.025)'
CYCLOSTOMATA;Eptatretus;Petromyzon;'B(3.585,6.361,0.001,0.025)'
VERTEBRATA;Danio_reri;Petromyzon;'B(4.575,6.361,0.001,0.025)'
EUARTHROPODA;Molgula_te;Petromyzon;'B(5.14,6.361,0.001,0.025)'
OLFACTORES;Branchiost;Petromyzon;'B(5.14,6.361,0.001,0.025)'
HEMICHORDATA;Ptychodera;Saccogloss;'B(5.045,6.361,0.001,0.025)'
AMBULACRARIA;Patiria_pe;Saccogloss;'B(5.155,6.361,0.001,0.025)'
XENAMBULACRARIA;Patiria_pe;Symsagitti;'B(5.155,6.361,0.001,0.025)'
DEUTEROSTOMIA;Branchiost;Symsagitti;'B(5.155,6.361,0.001,0.025)'
CAPITELLID-POLYCHETE-LEECH;Alvinella_;Helobdella;'B(4.765,6.361,0.001,0.025)'
GASTROPODA;Aplysia_ca;Lottia_gig;'B(4.702,5.49,0.001,0.025)'
BIVALVE-GASTROPOD;Aplysia_ca;Crassostre;'B(5.30,5.49,0.001,0.025)'
MOLLUSCA;Aplysia_ca;Euprymna_s;'B(5.34,5.49,0.001,0.025)'
ANNELIDS-MOLLUSCS;Alvinella_;Euprymna_s;'B(5.34,6.361,0.001,0.025)'
EUMETABOLA;Rhodnius_p;Tribolium_;'B(3.055,4.136,0.001,0.025)'
COPEPODA-BRANCHIOPODA;Daphnia_pu;Tribolium_;'B(4.99,5.3122,0.001,0.025)'
PANCRUSTACEA;Daphnia_pu;Litopenaeu;'B(5.14,5.3122,0.001,0.025)'
MANDIBULATA;Daphnia_pu;Scutigera_;'B(5.14,5.3122,0.001,0.025)'
ACARI-ARENACEA;Acanthoscu;Ixodes_sca;'B(4.16,5.3122,0.001,0.025)'
PYCNOGONIDA-OTHER-CHELICERATES;Anoplodact;Ixodes_sca;'B(4.975,5.3122,0.001,0.025)'
CHORDATA;Daphnia_pu;Ixodes_sca;'B(5.14,6.361,0.001,0.025)'
LOBOPODIA;Euperipato;Ixodes_sca;'B(5.2882,6.361,0.001,0.025)'
NEMATODA-ARTHROPODA;Caenorhabd;Ixodes_sca;'B(5.2882,6.361,0.001,0.025)'
ECDYSOZOA;Priapulus_;Ixodes_sca;'B(5.2882,6.361,0.001,0.025)'
PROTOSTOMIA;Alvinella_;Ixodes_sca;'B(5.5285,6.361,0.001,0.025)'
BILATERIA;Danio_reri;Alvinella_;'B(5.5285,6.361,0.001,0.025)'
EUMETAZOA;Acropora_m;Alvinella_;'B(5.5285,6.361,0.001,0.025)'
METAZOA;Amphimedon;Ixodes_sca;'B(5.5285,8.33,0.001,1e-300)'
