Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g1_n1	0.032	0.03	0.04
r_g1_n2	0.028	0.03	0.03
r_g1_n3	0.041	0.04	0.04
r_g1_n4	0.021	0.02	0.02
r_g1_n5	0.016	0.01	0.02
r_g1_n6	0.013	0.01	0.02
r_g1_n7	0.023	0.02	0.03
r_g1_n8	0.02	0.02	0.03
r_g1_n9	0.028	0.03	0.03
r_g1_n10	0.029	0.02	0.04
r_g1_n11	0.034	0.03	0.05
r_g1_n12	0.013	0.01	0.01
r_g1_n13	0.008	0.01	0.01
r_g1_n14	0.008	0	0.01
r_g1_n15	0.01	0.01	0.02
r_g1_n16	0.021	0.02	0.02
r_g1_n17	0.014	0.01	0.02
r_g1_n18	0.015	0.01	0.02
r_g1_n19	0.029	0.03	0.03
r_g1_n20	0.015	0.01	0.02
r_g1_n21	0.022	0.02	0.02
r_g1_n22	0.027	0.02	0.03
r_g1_n23	0.027	0.02	0.03
r_g1_n24	0.012	0.01	0.01
r_g1_n25	0.017	0.02	0.02
r_g1_n26	0.1	0.1	0.1
r_g1_n27	0.039	0.04	0.04
r_g1_n28	0.027	0.03	0.03
r_g1_n29	0.026	0.02	0.03
r_g1_n30	0.034	0.03	0.04
r_g1_n31	0.026	0.02	0.03
r_g1_n32	0.02	0.02	0.02
r_g1_n33	0.025	0.02	0.03
r_g1_n34	0.029	0.03	0.03
r_g1_n35	0.018	0.02	0.02
r_g1_n36	0.02	0.02	0.02
r_g1_n37	0.036	0.03	0.04
r_g1_n38	0.046	0.04	0.05
r_g1_n39	0.053	0.05	0.06
r_g1_n40	0.019	0.01	0.06
r_g1_n41	0.017	0.01	0.05
r_g1_n42	0.037	0.03	0.04
r_g1_n43	0.08	0.08	0.08
r_g1_n44	0.025	0.02	0.03
r_g1_n45	0.033	0.03	0.03
r_g1_n46	0.021	0.02	0.02
r_g1_n47	0.04	0.04	0.05
r_g1_n48	0.027	0.02	0.03
r_g1_n49	0.041	0.04	0.04
r_g1_n50	0.047	0.04	0.05
r_g1_n51	0.018	0.02	0.02
r_g1_n52	0.025	0.02	0.03
r_g1_n53	0.022	0.02	0.02
r_g1_n54	0.032	0.03	0.04
r_g1_n56	0.248	0.11	0.4
r_g1_n57	0.317	0.21	0.45
r_g1_n58	0.375	0.29	0.48
r_g1_n59	0.344	0.23	0.47
r_g1_n60	0.241	0.1	0.4
r_g1_n61	0.129	0.03	0.27
r_g1_n62	0.222	0.06	0.43
r_g1_n63	0.334	0.28	0.4
r_g1_n64	0.288	0.21	0.38
