Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g1_n1	0.045	0.03	0.08
r_g1_n2	0.039	0.03	0.07
r_g1_n3	0.041	0.04	0.04
r_g1_n4	0.028	0.02	0.04
r_g1_n5	0.038	0.02	0.09
r_g1_n6	0.031	0.02	0.07
r_g1_n7	0.042	0.02	0.1
r_g1_n8	0.037	0.02	0.08
r_g1_n9	0.028	0.03	0.03
r_g1_n10	0.041	0.03	0.08
r_g1_n11	0.048	0.03	0.1
r_g1_n12	0.013	0.01	0.01
r_g1_n13	0.008	0.01	0.01
r_g1_n14	0.009	0	0.01
r_g1_n15	0.012	0.01	0.02
r_g1_n16	0.022	0.02	0.03
r_g1_n17	0.014	0.01	0.02
r_g1_n18	0.015	0.01	0.02
r_g1_n19	0.033	0.03	0.04
r_g1_n20	0.017	0.01	0.02
r_g1_n21	0.029	0.02	0.04
r_g1_n22	0.04	0.03	0.06
r_g1_n23	0.039	0.03	0.06
r_g1_n24	0.012	0.01	0.01
r_g1_n25	0.017	0.02	0.02
r_g1_n26	0.116	0.1	0.16
r_g1_n27	0.045	0.04	0.06
r_g1_n28	0.031	0.03	0.04
r_g1_n29	0.034	0.03	0.04
r_g1_n30	0.045	0.04	0.06
r_g1_n31	0.039	0.03	0.07
r_g1_n32	0.03	0.02	0.06
r_g1_n33	0.026	0.02	0.03
r_g1_n34	0.031	0.03	0.03
r_g1_n35	0.024	0.02	0.04
r_g1_n36	0.027	0.02	0.05
r_g1_n37	0.036	0.03	0.04
r_g1_n38	0.061	0.05	0.09
r_g1_n39	0.07	0.05	0.1
r_g1_n40	0.036	0.01	0.09
r_g1_n41	0.031	0.01	0.08
r_g1_n42	0.037	0.03	0.04
r_g1_n43	0.079	0.08	0.08
r_g1_n44	0.025	0.02	0.03
r_g1_n45	0.033	0.03	0.03
r_g1_n46	0.024	0.02	0.03
r_g1_n47	0.046	0.04	0.05
r_g1_n48	0.031	0.03	0.04
r_g1_n49	0.044	0.04	0.05
r_g1_n50	0.047	0.04	0.05
r_g1_n51	0.018	0.02	0.02
r_g1_n52	0.026	0.02	0.03
r_g1_n53	0.025	0.02	0.03
r_g1_n54	0.036	0.03	0.04
r_g1_n56	0.067	0.03	0.19
r_g1_n57	0.08	0.01	0.32
r_g1_n58	0.761	0.38	1.48
r_g1_n59	0.104	0.06	0.21
r_g1_n60	0.05	0.02	0.14
r_g1_n61	0.035	0.01	0.1
r_g1_n62	0.075	0.04	0.16
r_g1_n63	0.751	0.41	1.37
r_g1_n64	0.124	0.06	0.27
r_g1_n65	0.106	0.04	0.25
r_g1_n66	0.14	0.07	0.3
r_g1_n67	0.074	0.03	0.16
r_g1_n68	0.146	0.09	0.27
r_g1_n69	0.12	0.06	0.24
r_g1_n70	0.081	0.03	0.2
r_g1_n71	0.02	0.02	0.02
r_g1_n72	0.085	0.05	0.15
r_g1_n73	0.01	0.01	0.01
r_g1_n74	0.016	0.01	0.04
r_g1_n75	0.052	0.03	0.13
r_g1_n76	0.1	0.04	0.23
r_g1_n77	0.157	0.08	0.33
r_g1_n78	0.052	0.02	0.14
r_g1_n79	0.046	0.01	0.14
r_g1_n80	0.266	0.15	0.49
r_g1_n81	0.053	0.01	0.16
r_g1_n82	0.472	0.24	0.9
r_g1_n83	0.115	0.04	0.27
r_g1_n84	0.273	0.11	0.63
r_g1_n85	0.31	0.15	0.63
r_g1_n86	0.073	0.04	0.17
r_g1_n87	0.041	0.01	0.13
r_g1_n88	0.045	0.01	0.14
r_g1_n89	0.052	0.02	0.13
r_g1_n90	0.367	0.19	0.72
r_g1_n91	0.298	0.15	0.57
r_g1_n92	0.075	0.05	0.15
r_g1_n93	0.042	0.01	0.13
r_g1_n94	0.076	0.03	0.19
r_g1_n95	0.064	0.04	0.13
r_g1_n96	0.27	0.13	0.54
r_g1_n97	0.161	0.07	0.35
r_g1_n98	0.18	0.08	0.39
r_g1_n99	0.231	0.11	0.47
r_g1_n100	0.105	0.04	0.25
r_g1_n101	0.298	0.17	0.57
r_g1_n102	0.148	0.09	0.28
r_g1_n103	0.057	0.02	0.15
r_g1_n104	0.066	0.03	0.16
r_g1_n105	0.055	0.02	0.16
r_g1_n106	0.108	0.07	0.21
r_g1_n107	0.056	0.03	0.12
r_g2_n1	0.058	0.04	0.1
r_g2_n2	0.046	0.03	0.08
r_g2_n3	0.055	0.05	0.06
r_g2_n4	0.037	0.03	0.06
r_g2_n5	0.043	0.02	0.1
r_g2_n6	0.034	0.02	0.08
r_g2_n7	0.055	0.03	0.12
r_g2_n8	0.045	0.02	0.1
r_g2_n9	0.035	0.03	0.04
r_g2_n10	0.06	0.04	0.12
r_g2_n11	0.063	0.04	0.13
r_g2_n12	0.017	0.02	0.02
r_g2_n13	0.013	0.01	0.01
r_g2_n14	0.015	0.01	0.02
r_g2_n15	0.019	0.01	0.03
r_g2_n16	0.027	0.02	0.03
r_g2_n17	0.013	0.01	0.01
r_g2_n18	0.018	0.02	0.02
r_g2_n19	0.043	0.04	0.05
r_g2_n20	0.023	0.02	0.03
r_g2_n21	0.039	0.03	0.05
r_g2_n22	0.053	0.04	0.09
r_g2_n23	0.044	0.03	0.07
r_g2_n24	0.015	0.01	0.02
r_g2_n25	0.018	0.02	0.02
r_g2_n26	0.138	0.12	0.18
r_g2_n27	0.051	0.04	0.07
r_g2_n28	0.033	0.03	0.04
r_g2_n29	0.044	0.04	0.06
r_g2_n30	0.051	0.04	0.07
r_g2_n31	0.049	0.04	0.09
r_g2_n32	0.037	0.03	0.07
r_g2_n33	0.037	0.03	0.04
r_g2_n34	0.048	0.04	0.05
r_g2_n35	0.047	0.03	0.08
r_g2_n36	0.043	0.03	0.07
r_g2_n37	0.04	0.04	0.04
r_g2_n38	0.078	0.06	0.11
r_g2_n39	0.088	0.07	0.13
r_g2_n40	0.064	0.03	0.15
r_g2_n41	0.059	0.02	0.14
r_g2_n42	0.043	0.04	0.05
r_g2_n43	0.1	0.1	0.1
r_g2_n44	0.035	0.03	0.04
r_g2_n45	0.039	0.04	0.04
r_g2_n46	0.031	0.03	0.04
r_g2_n47	0.049	0.04	0.06
r_g2_n48	0.039	0.03	0.04
r_g2_n49	0.055	0.05	0.06
r_g2_n50	0.048	0.05	0.05
r_g2_n51	0.026	0.02	0.03
r_g2_n52	0.038	0.03	0.04
r_g2_n53	0.032	0.03	0.04
r_g2_n54	0.038	0.03	0.04
r_g2_n56	0.072	0.03	0.2
r_g2_n57	0.103	0.01	0.43
r_g2_n58	0.915	0.45	1.78
r_g2_n59	0.121	0.07	0.25
r_g2_n60	0.062	0.02	0.18
r_g2_n61	0.062	0.02	0.18
r_g2_n62	0.087	0.04	0.19
r_g2_n63	1.771	0.97	3.22
r_g2_n64	0.213	0.1	0.47
r_g2_n65	0.128	0.05	0.3
r_g2_n66	0.128	0.06	0.28
r_g2_n67	0.12	0.05	0.26
r_g2_n68	0.195	0.12	0.36
r_g2_n69	0.145	0.07	0.29
r_g2_n70	0.087	0.03	0.21
r_g2_n71	0.024	0.02	0.03
r_g2_n72	0.115	0.07	0.2
r_g2_n73	0.014	0.01	0.02
r_g2_n74	0.018	0.01	0.04
r_g2_n75	0.053	0.03	0.13
r_g2_n76	0.169	0.07	0.39
r_g2_n77	0.205	0.1	0.43
r_g2_n78	0.083	0.03	0.22
r_g2_n79	0.062	0.02	0.19
r_g2_n80	0.381	0.22	0.7
r_g2_n81	0.081	0.02	0.23
r_g2_n82	0.791	0.41	1.51
r_g2_n83	0.255	0.1	0.59
r_g2_n84	0.132	0.04	0.32
r_g2_n85	0.346	0.17	0.71
r_g2_n86	0.094	0.05	0.21
r_g2_n87	0.057	0.01	0.18
r_g2_n88	0.05	0.01	0.15
r_g2_n89	0.059	0.02	0.15
r_g2_n90	0.431	0.22	0.84
r_g2_n91	0.257	0.12	0.49
r_g2_n92	0.098	0.06	0.2
r_g2_n93	0.054	0.02	0.17
r_g2_n94	0.095	0.04	0.24
r_g2_n95	0.086	0.06	0.17
r_g2_n96	0.263	0.12	0.53
r_g2_n97	0.251	0.1	0.55
r_g2_n98	0.272	0.12	0.58
r_g2_n99	0.306	0.14	0.63
r_g2_n100	0.187	0.07	0.43
r_g2_n101	0.395	0.22	0.76
r_g2_n102	0.161	0.1	0.3
r_g2_n103	0.059	0.02	0.16
r_g2_n104	0.07	0.03	0.17
r_g2_n105	0.069	0.02	0.2
r_g2_n106	0.144	0.09	0.28
r_g2_n107	0.077	0.04	0.17
