Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	688.134	658.12	744.88	B(5.5285,8.33,0.001,1e-300)
t_n56	565.644	454.73	675.3	0
t_n57	668.105	651.84	692.02	0
t_n58_EUMETAZOA	642.603	632.13	659.31	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	615.11	596.88	631.98	B(5.29,6.361,0.001,0.025)
t_n60	543.379	480.15	584.43	0
t_n61	432.056	309.63	522.17	0
t_n62	397.268	190.66	508.92	0
t_n63_BILATERIA	610.537	600.09	623.83	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	602.059	591.61	614.78	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	590.975	579.63	603.61	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	573.139	558.55	586.71	B(5.14,6.361,0.001,0.025)
t_n67	407.095	262.41	488.2	0
t_n68_VERTEBRATA	510.569	487.85	530.29	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	453.277	441.49	466.81	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	424.787	420.78	435.04	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	350.56	347.94	352.4	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	319.055	318.01	321.78	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	190.993	168.86	202.5	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	90.998	64.51	122.94	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	447.452	393.3	485.85	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	594.19	583.27	606.71	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	574.597	561.98	587.13	B(5.155,6.361,0.001,0.025)
t_n78	507.947	458.68	536.93	0
t_n79	476.439	411.99	516.67	0
t_n80_HEMICHORDATA	513.29	504.66	531.27	B(5.045,6.361,0.001,0.025)
t_n81	569.861	549.67	585.04	0
t_n82_PROTOSTOMIA	590.94	581.99	601.48	B(5.5285,6.361,0.001,0.025)
t_n83	585.74	577.2	595.59	0
t_n84	579.306	571.35	588.2	0
t_n85_ANNELIDS-MOLLUSCS	565.556	558.83	572.61	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	531.509	513.8	544.6	B(4.765,6.361,0.001,0.025)
t_n87	518.016	494.71	534.66	0
t_n88	488.974	445.29	516.32	0
t_n89	438.005	346.04	492.92	0
t_n90_MOLLUSCA	545.633	541.41	549.1	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	531.82	530.04	535.89	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	490.84	473.5	509.52	B(4.702,5.49,0.001,0.025)
t_n93	472.218	418.95	502.44	0
t_n94	488.917	420.81	527.54	0
t_n95	268.64	76.69	434.46	0
t_n96_ECDYSOZOA	577.809	569.89	586.81	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	568.137	560.87	576.29	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	555.213	549.29	562.01	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	538.069	535.03	541.63	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	531.374	529.48	533.56	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	514.876	514.01	516.81	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	500.973	499.05	504.42	B(4.99,5.3122,0.001,0.025)
t_n103	483.074	473.84	490.85	0
t_n104	421.748	378.58	442.52	0
t_n105_EUMETABOLA	392.295	337.36	416.06	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	510.002	499.02	518.69	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	465.006	424.87	489.39	B(4.16,5.3122,0.001,0.025)
