Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	687.972	658.17	743.88	B(5.5285,8.33,0.001,1e-300)
t_n56	565.233	453.55	674.03	0
t_n57	668.109	651.82	692.08	0
t_n58_EUMETAZOA	642.619	632.13	659.36	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	615.105	596.98	631.99	B(5.29,6.361,0.001,0.025)
t_n60	543.239	480	584.41	0
t_n61	431.592	307.81	522.32	0
t_n62	397.144	192.72	508.8	0
t_n63_BILATERIA	610.561	600.12	623.88	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	602.089	591.66	614.78	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	590.999	579.65	603.63	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	573.167	558.57	586.73	B(5.14,6.361,0.001,0.025)
t_n67	407.506	268.78	488.26	0
t_n68_VERTEBRATA	510.623	488.01	530.31	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	453.274	441.5	466.82	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	424.782	420.78	435.05	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	350.561	347.94	352.4	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	319.052	318.01	321.77	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	191.029	168.9	202.52	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	90.94	64.41	122.98	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	447.559	393.34	485.97	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	594.212	583.32	606.71	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	574.628	562	587.15	B(5.155,6.361,0.001,0.025)
t_n78	508.014	458.64	537	0
t_n79	476.54	412	516.74	0
t_n80_HEMICHORDATA	513.308	504.66	531.36	B(5.045,6.361,0.001,0.025)
t_n81	569.894	549.72	585.08	0
t_n82_PROTOSTOMIA	590.95	582.01	601.45	B(5.5285,6.361,0.001,0.025)
t_n83	585.748	577.2	595.6	0
t_n84	579.316	571.35	588.2	0
t_n85_ANNELIDS-MOLLUSCS	565.562	558.83	572.62	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	531.561	513.98	544.61	B(4.765,6.361,0.001,0.025)
t_n87	518.085	495.19	534.68	0
t_n88	489.084	445.87	516.32	0
t_n89	438.137	346	493.13	0
t_n90_MOLLUSCA	545.63	541.4	549.11	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	531.82	530.04	535.89	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	490.83	473.46	509.53	B(4.702,5.49,0.001,0.025)
t_n93	472.191	419.16	502.33	0
t_n94	488.836	420.57	527.4	0
t_n95	269.093	76.64	434.92	0
t_n96_ECDYSOZOA	577.816	569.88	586.81	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	568.141	560.88	576.25	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	555.216	549.3	562.01	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	538.073	535.04	541.65	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	531.379	529.47	533.56	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	514.875	514.01	516.81	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	500.976	499.05	504.44	B(4.99,5.3122,0.001,0.025)
t_n103	483.082	473.86	490.83	0
t_n104	421.694	378.31	442.56	0
t_n105_EUMETABOLA	392.275	336.96	416.06	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	510.006	499.04	518.67	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	464.983	424.77	489.34	B(4.16,5.3122,0.001,0.025)
