Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	759.023	694.65	825.78	B(5.5285,8.33,0.001,1e-300)
t_n56	506.992	328.23	634.5	0
t_n57	721.925	677.26	786.02	0
t_n58_EUMETAZOA	653.957	639.34	669.47	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	582.586	534.6	622.42	B(5.29,6.361,0.001,0.025)
t_n60	424.087	311.31	529	0
t_n61	267.434	126.56	400.91	0
t_n62	297.253	149.83	426.91	0
t_n63_BILATERIA	633.964	622.81	642.98	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	616.726	601.45	629.53	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	591.008	565.81	610.07	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	556.654	526.83	583.99	B(5.14,6.361,0.001,0.025)
t_n67	333.059	204.94	436.1	0
t_n68_VERTEBRATA	492.369	466.34	523.36	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	447.726	433.1	465.81	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	426.609	420.82	441.09	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	346.899	338.79	351.32	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	322.236	318.12	330.67	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	181.753	165.57	201.14	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	74.616	61.81	112.88	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	393.983	359.82	451.45	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	597.92	578.87	614.06	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	565.337	542.74	587.94	B(5.155,6.361,0.001,0.025)
t_n78	423.556	324.45	509.44	0
t_n79	364.018	259.57	460.45	0
t_n80_HEMICHORDATA	511.745	504.57	529.53	B(5.045,6.361,0.001,0.025)
t_n81	516.165	431.4	569.82	0
t_n82_PROTOSTOMIA	617.186	605.13	627.94	B(5.5285,6.361,0.001,0.025)
t_n83	605.129	591.78	617.71	0
t_n84	592.958	579.13	606.38	0
t_n85_ANNELIDS-MOLLUSCS	571.918	559.41	585.95	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	504.411	477.46	541.62	B(4.765,6.361,0.001,0.025)
t_n87	470.184	419.37	515.8	0
t_n88	407.244	324.24	473.47	0
t_n89	348.91	228.13	442.47	0
t_n90_MOLLUSCA	545.988	540.07	549.42	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	532.406	530.05	537.63	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	480.771	470.47	501.55	B(4.702,5.49,0.001,0.025)
t_n93	385.653	276.1	474.14	0
t_n94	417.459	317.85	512.32	0
t_n95	203.56	94.7	355.14	0
t_n96_ECDYSOZOA	598.948	584.55	612.34	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	583.934	568.97	598.51	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	565.672	552.15	580.69	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	544.531	535.62	556.34	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	529.865	525.69	532.27	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	516.598	514.08	521.24	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	501.458	499.04	506.78	B(4.99,5.3122,0.001,0.025)
t_n103	452.91	417.12	483.58	0
t_n104	367.693	329.55	425.96	0
t_n105_EUMETABOLA	331.342	306.17	387.97	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	506.744	497.81	523.25	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	438.511	416.79	471.62	B(4.16,5.3122,0.001,0.025)
