Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	579.441	578.01	579.99	B(5.5285,5.80,0.001,1e-300)
t_n56	535.99	491.67	555.9	0
t_n57	578.814	576.86	579.85	0
t_n58_EUMETAZOA	571.73	569.64	573.58	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	562.885	558.15	566.45	B(5.29,6.361,0.001,0.025)
t_n60	540.211	514.11	552.61	0
t_n61	500.58	408.74	535.93	0
t_n62	465.633	309.57	526.76	0
t_n63_BILATERIA	560.694	558.92	562.94	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	557.051	555.08	559.56	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	551.866	548.78	555.17	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	542.489	535.75	548.33	B(5.14,6.361,0.001,0.025)
t_n67	436.431	305.02	506.24	0
t_n68_VERTEBRATA	498.264	479.94	516.61	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	451.684	438.74	467.1	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	427.254	420.86	442.24	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	349.642	345.23	351.86	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	319.959	318.04	324.68	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	188.122	166.88	202.15	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	95.731	64.14	135.25	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	451.307	392.28	490.53	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	553.406	550.75	556.46	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	544.083	538.93	549.07	B(5.155,6.361,0.001,0.025)
t_n78	515.031	489.59	530.54	0
t_n79	501.5	458.64	523.06	0
t_n80_HEMICHORDATA	513.3	504.74	526.87	B(5.045,6.361,0.001,0.025)
t_n81	541.871	531.34	548.23	0
t_n82_PROTOSTOMIA	553.869	552.78	556.03	B(5.5285,6.361,0.001,0.025)
t_n83	551.962	550.57	554.17	0
t_n84	549.566	547.97	551.78	0
t_n85_ANNELIDS-MOLLUSCS	544.24	542.27	546.53	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	531.44	522.63	536.61	B(4.765,6.361,0.001,0.025)
t_n87	526.423	514.57	533.27	0
t_n88	515.387	493.6	527.24	0
t_n89	494.469	425.45	518.24	0
t_n90_MOLLUSCA	536.474	534.67	538.86	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	531.092	530.01	533.67	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	516.552	503.83	523.68	B(4.702,5.49,0.001,0.025)
t_n93	511.191	493.44	520.4	0
t_n94	512.534	481.1	530.21	0
t_n95	369.91	94.02	501.98	0
t_n96_ECDYSOZOA	549.076	547.18	551.39	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	545.438	542.97	547.98	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	540.302	537.22	543.12	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	532.404	529.07	535.19	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	528.912	525.62	531.52	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	516.032	514.05	520	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	504.61	499.53	511.01	B(4.99,5.3122,0.001,0.025)
t_n103	489.828	475.97	501	0
t_n104	427.04	373.75	452.36	0
t_n105_EUMETABOLA	394.762	330.59	418.09	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	516.475	506.42	523.42	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	489.805	451.85	509.23	B(4.16,5.3122,0.001,0.025)
