Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	579.336	577.58	579.98	B(5.5285,5.80,0.001,1e-300)
t_n56	398.373	223.48	528.93	0
t_n57	578.741	576.52	579.85	0
t_n58_EUMETAZOA	574.722	571.23	577.34	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	542.998	529.49	560.75	B(5.29,6.361,0.001,0.025)
t_n60	411.253	262.72	510.4	0
t_n61	258.104	92.93	423.41	0
t_n62	287.434	109.78	441.82	0
t_n63_BILATERIA	569.409	564.97	573.18	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	560.287	552.19	567.09	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	544.377	529.55	557	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	524.196	514.33	540.34	B(5.14,6.361,0.001,0.025)
t_n67	324.151	147.86	445.49	0
t_n68_VERTEBRATA	479.019	459.71	503.41	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	445.46	430.13	464.8	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	427.839	420.87	444.21	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	345.716	337.85	351.17	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	323.708	318.2	332.21	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	182.238	165.63	201.25	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	85.183	62.06	144.44	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	397.624	360.15	453.15	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	549.836	537.42	559.5	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	532.954	520.05	546.22	B(5.155,6.361,0.001,0.025)
t_n78	413.292	294.95	500.91	0
t_n79	355.107	211.54	456.66	0
t_n80_HEMICHORDATA	508.857	504.49	519.54	B(5.045,6.361,0.001,0.025)
t_n81	474.901	349.05	534.09	0
t_n82_PROTOSTOMIA	563.856	558.65	568.53	B(5.5285,6.361,0.001,0.025)
t_n83	558.742	552.61	564.38	0
t_n84	553.743	547.34	559.96	0
t_n85_ANNELIDS-MOLLUSCS	546.474	540.43	552.94	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	497.346	477.12	528	B(4.765,6.361,0.001,0.025)
t_n87	460.986	390.85	508.77	0
t_n88	397.325	310.42	472.54	0
t_n89	351.155	170.86	455.4	0
t_n90_MOLLUSCA	538.478	534.45	544.23	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	531.405	530.02	535.42	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	485.392	470.64	512.09	B(4.702,5.49,0.001,0.025)
t_n93	392.184	218.9	498.73	0
t_n94	397.887	269.63	503.9	0
t_n95	203.347	66.65	396.28	0
t_n96_ECDYSOZOA	556.362	549.4	562.52	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	549.662	541.72	556.76	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	541.812	533.93	549.56	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	533.029	526.06	540.15	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	526.418	520.53	531.27	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	516.624	514.07	522.04	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	502.907	499.1	510.17	B(4.99,5.3122,0.001,0.025)
t_n103	457.968	408.29	491.06	0
t_n104	378.895	325.33	440.81	0
t_n105_EUMETABOLA	342.489	306.47	405.28	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	506.115	497.79	520.68	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	443.944	417.08	481.69	B(4.16,5.3122,0.001,0.025)
