Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	732.589	636.14	828.09	B(5.5285,8.33,0.001,1e-300)
t_n56	486.5	90.97	653.52	0
t_n57	681.916	626.75	789.58	0
t_n58_EUMETAZOA	631.333	613.14	641.2	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	589.388	535.08	632.09	B(5.29,6.361,0.001,0.025)
t_n60	518.799	332.93	610	0
t_n61	393.628	36.07	564.73	0
t_n62	455.608	67.58	601.85	0
t_n63_BILATERIA	623.447	600.24	636.29	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	608.479	573.79	631.38	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	580.817	531.52	620.28	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	553.755	515.96	603.59	B(5.14,6.361,0.001,0.025)
t_n67	429.714	56.92	566.08	0
t_n68_VERTEBRATA	506.962	461.32	574.51	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	451.916	428.06	468.81	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	434.559	421.23	452.72	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	344.201	337.36	351.01	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	325.704	318.38	332.92	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	183.674	165.82	201.5	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	114.394	64.13	164.47	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	432.232	362.06	522.18	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	586.478	541.34	621.73	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	563.148	521.14	607.73	B(5.155,6.361,0.001,0.025)
t_n78	501.658	324.01	582.44	0
t_n79	377.04	32.36	544.45	0
t_n80_HEMICHORDATA	532.651	505.36	584.1	B(5.045,6.361,0.001,0.025)
t_n81	454.877	69.84	592.81	0
t_n82_PROTOSTOMIA	610.885	577.44	632.11	B(5.5285,6.361,0.001,0.025)
t_n83	587.065	485.73	626.19	0
t_n84	576.173	485.72	619.69	0
t_n85_ANNELIDS-MOLLUSCS	563.137	485.72	608.33	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	533.297	477.93	587.33	B(4.765,6.361,0.001,0.025)
t_n87	471.499	233.95	557.45	0
t_n88	344.9	23.62	531.05	0
t_n89	407.506	47.36	548.79	0
t_n90_MOLLUSCA	540.352	485.71	549.08	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	534.448	485.62	546.15	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	499.596	470.99	535.43	B(4.702,5.49,0.001,0.025)
t_n93	413.81	50.85	534.92	0
t_n94	446.918	64.22	588.62	0
t_n95	456.096	70.65	601.54	0
t_n96_ECDYSOZOA	594.185	555.68	624.63	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	577.289	542.03	614.13	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	560.325	532.22	599.58	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	543.081	523.41	579.49	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	525.589	516.74	531.46	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	520.46	514.27	529.17	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	510.532	499.59	524.05	B(4.99,5.3122,0.001,0.025)
t_n103	470.803	348.45	517.08	0
t_n104	423.872	320.87	506.8	0
t_n105_EUMETABOLA	354.375	307.4	412.72	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	514.044	498.28	530.89	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	463.931	418.34	515.45	B(4.16,5.3122,0.001,0.025)
