Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	577.006	569.66	579.92	B(5.5285,5.80,0.001,1e-300)
t_n56	470.326	85.54	576.01	0
t_n57	575.51	567.39	579.56	0
t_n58_EUMETAZOA	574.011	564.86	579.19	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	556.004	531.42	575.15	B(5.29,6.361,0.001,0.025)
t_n60	508.088	331.5	565.03	0
t_n61	390.266	34.96	546.01	0
t_n62	449.621	71.34	561.65	0
t_n63_BILATERIA	570.741	560.44	577.83	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	563.277	546.37	574.86	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	548.516	522.21	568.9	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	533.628	514.75	560.27	B(5.14,6.361,0.001,0.025)
t_n67	417.829	54.34	542.89	0
t_n68_VERTEBRATA	496.784	460.48	541.75	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	451.776	427.92	468.77	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	434.575	421.22	452.77	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	344.219	337.34	351	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	325.679	318.37	332.9	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	183.676	165.82	201.5	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	114.307	64.15	164.46	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	428.049	361.94	505.64	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	552.227	527.55	569.83	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	539.729	517.39	563.11	B(5.155,6.361,0.001,0.025)
t_n78	489.559	316.33	551.53	0
t_n79	366.888	30.07	534.18	0
t_n80_HEMICHORDATA	521.266	505.01	550.55	B(5.045,6.361,0.001,0.025)
t_n81	445.09	66.73	556.58	0
t_n82_PROTOSTOMIA	566.097	554.9	575.55	B(5.5285,6.361,0.001,0.025)
t_n83	558.053	522.31	572.82	0
t_n84	553.727	522.3	570.11	0
t_n85_ANNELIDS-MOLLUSCS	548.483	522.29	565.75	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	524.433	478.15	556.2	B(4.765,6.361,0.001,0.025)
t_n87	468.049	227.11	544.02	0
t_n88	343.259	23.07	527.6	0
t_n89	404.888	46.21	540.04	0
t_n90_MOLLUSCA	540.185	522.27	548.92	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	534.617	522.25	545.58	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	499.595	470.89	534.57	B(4.702,5.49,0.001,0.025)
t_n93	420.329	51.58	535.32	0
t_n94	447.252	68.54	557.45	0
t_n95	453.37	71.78	562.31	0
t_n96_ECDYSOZOA	558.808	542.4	571.93	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	551.116	534.53	567.08	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	543.059	529.89	560.66	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	534.13	521.59	551.76	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	524.951	516.38	531.34	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	520.076	514.24	528.8	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	510.402	499.59	523.68	B(4.99,5.3122,0.001,0.025)
t_n103	472.005	350.14	517.19	0
t_n104	425.029	320.91	507.56	0
t_n105_EUMETABOLA	354.548	307.33	412.77	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	513.536	498.26	530.54	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	463.535	418.21	514.55	B(4.16,5.3122,0.001,0.025)
