mean_t-Unconstrained	2.5%q-Unconstrained	97.5%q-Unconstrained	mean_t-UpperEdiacaran	2.5%q-UpperEdiacaran	97.5%q-UpperEdiacaran
tn55|METAZOA	759.023	694.65	825.78	579.34	577.61	579.98
tn56	506.992	328.23	634.5	398.302	223.35	528.97
tn57	721.925	677.26	786.02	578.747	576.55	579.85
tn58|EUMETAZOA	653.957	639.34	669.47	574.731	571.25	577.34
tn59|CNIDARIA	582.586	534.6	622.42	543.001	529.5	560.76
tn60	424.087	311.31	529	411.223	261.38	510.43
tn61	267.434	126.56	400.91	258.197	92.92	423.8
tn62	297.253	149.83	426.91	287.862	110.18	441.87
tn63|BILATERIA	633.964	622.81	642.98	569.425	565.03	573.19
tn64|DEUTEROSTOMIA	616.726	601.45	629.53	560.299	552.25	567.11
tn65|OLFACTORES	591.008	565.81	610.07	544.395	529.57	557.01
tn66|EUARTHROPODA	556.654	526.83	583.99	524.201	514.32	540.37
tn67	333.059	204.94	436.1	324.806	148.47	445.46
tn68|VERTEBRATA	492.369	466.34	523.36	478.982	459.74	503.22
tn69|GNATHOSTOMATA	447.726	433.1	465.81	445.446	430.12	464.77
tn70|OSTEICHTHYES	426.609	420.82	441.09	427.835	420.87	444.16
tn71|TETRAPODA	346.899	338.79	351.32	345.726	337.86	351.17
tn72|AMNIOTA	322.236	318.12	330.67	323.71	318.2	332.21
tn73|MAMMALIA	181.753	165.57	201.14	182.248	165.63	201.26
tn74|EUARCHONTOGLIRES	74.616	61.81	112.88	85.146	62.06	144.49
tn75|CYCLOSTOMATA	393.983	359.82	451.45	397.584	360.14	453.06
tn76|XENAMBULACRARIA	597.92	578.87	614.06	549.843	537.43	559.51
tn77|AMBULACRARIA	565.337	542.74	587.94	532.965	520.04	546.24
tn78	423.556	324.45	509.44	413.311	296.03	500.66
tn79	364.018	259.57	460.45	355.159	211.39	456.5
tn80|HEMICHORDATA	511.745	504.57	529.53	508.853	504.49	519.55
tn81	516.165	431.4	569.82	474.928	349.25	534.07
tn82|PROTOSTOMIA	617.186	605.13	627.94	563.88	558.74	568.54
tn83	605.129	591.78	617.71	558.825	552.87	564.46
tn84	592.958	579.13	606.38	553.888	547.67	560.07
tn85|ANNELIDS-MOLLUSCS	571.918	559.41	585.95	546.768	540.92	553.2
tn86|CAPITELLID-POLYCHETE-LEECH	504.411	477.46	541.62	497.514	477.19	528.32
tn87	470.184	419.37	515.8	461.248	391.64	509
tn88	407.244	324.24	473.47	397.676	311.27	472.89
tn89	348.91	228.13	442.47	351.569	172.5	455.75
tn90|MOLLUSCA	545.988	540.07	549.42	538.641	534.51	544.5
tn91|BIVALVE-GASTROPOD	532.406	530.05	537.63	531.583	530.03	535.54
tn92|GASTROPODA	480.771	470.47	501.55	484.822	470.65	510.48
tn93	385.653	276.1	474.14	392.087	218.59	498.62
tn94	417.459	317.85	512.32	397.739	268.71	503.62
tn95	203.56	94.7	355.14	203.532	66.6	396.01
tn96|ECDYSOZOA	598.948	584.55	612.34	556.384	549.48	562.55
tn97|NEMATODA-ARTHROPODA	583.934	568.97	598.51	549.681	541.77	556.79
tn98|LOBOPODIA	565.672	552.15	580.69	541.83	533.98	549.58
tn99|CHORDATA	544.531	535.62	556.34	533.037	526.08	540.16
tn100|MANDIBULATA	529.865	525.69	532.27	526.421	520.55	531.26
tn101|PANCRUSTACEA	516.598	514.08	521.24	516.622	514.07	522.02
tn102|COPEPODA-BRANCHIOPODA	501.458	499.04	506.78	502.901	499.1	510.15
tn103	452.91	417.12	483.58	458.013	408.12	491.05
tn104	367.693	329.55	425.96	378.883	325.45	440.76
tn105|EUMETABOLA	331.342	306.17	387.97	342.482	306.46	405.27
tn106|PYCNOGONIDA-OTHER-CHELICERATES	506.744	497.81	523.25	506.118	497.79	520.64
tn107|ACARI-ARENACEA	438.511	416.79	471.62	443.919	417.08	481.61
